date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
21/07/19,BTC,ETH,XRP,LTC,EOS,TRX,XLM,ADA,XMR,LEO
28/07/19,BTC,ETH,XRP,LTC,EOS,XLM,ADA,TRX,XMR,LEO
4/08/19,BTC,ETH,XRP,LTC,EOS,XLM,XMR,TRX,ADA,LEO
11/08/19,BTC,ETH,XRP,LTC,EOS,XMR,XLM,ADA,TRX,LEO
18/08/19,BTC,ETH,XRP,LTC,EOS,XMR,XLM,ADA,LEO,TRX
25/08/19,BTC,ETH,XRP,LTC,EOS,XLM,XMR,ADA,LEO,TRX
1/09/19,BTC,ETH,XRP,LTC,EOS,XMR,XLM,ADA,LEO,TRX
8/09/19,BTC,ETH,XRP,LTC,EOS,XMR,ADA,XLM,LEO,TRX
15/09/19,BTC,ETH,XRP,LTC,EOS,XMR,ADA,XLM,LEO,TRX
22/09/19,BTC,ETH,XRP,LTC,EOS,XLM,ADA,XMR,TRX,LEO
29/09/19,BTC,ETH,XRP,LTC,EOS,XLM,LEO,ADA,XMR,TRX
6/10/19,BTC,ETH,XRP,LTC,EOS,XLM,ADA,TRX,LEO,XMR
13/10/19,BTC,ETH,XRP,LTC,EOS,XLM,TRX,ADA,LEO,XMR
20/10/19,BTC,ETH,XRP,LTC,EOS,XLM,TRX,ADA,LEO,XMR
27/10/19,BTC,ETH,XRP,LTC,EOS,XLM,TRX,ADA,XMR,LEO
3/11/19,BTC,ETH,XRP,LTC,EOS,XLM,TRX,XMR,ADA,LEO
10/11/19,BTC,ETH,XRP,LTC,EOS,XLM,TRX,ADA,XMR,LEO
17/11/19,BTC,ETH,XRP,LTC,EOS,XLM,TRX,ADA,XMR,LEO
24/11/19,BTC,ETH,XRP,LTC,EOS,XLM,LEO,TRX,ADA,XTZ
1/12/19,BTC,ETH,XRP,LTC,EOS,XLM,TRX,ADA,XMR,LEO
8/12/19,BTC,ETH,XRP,LTC,EOS,XLM,XTZ,ADA,TRX,XMR
15/12/19,BTC,ETH,XRP,LTC,EOS,XTZ,XLM,ADA,TRX,XMR
22/12/19,BTC,ETH,XRP,LTC,EOS,XTZ,TRX,XLM,ADA,LEO
29/12/19,BTC,ETH,XRP,LTC,EOS,XLM,TRX,XTZ,ADA,LEO
5/01/20,BTC,ETH,XRP,LTC,EOS,XMR,XLM,TRX,ADA,XTZ
12/01/20,BTC,ETH,XRP,LTC,EOS,XMR,TRX,ADA,XLM,XTZ
19/01/20,BTC,ETH,XRP,LTC,EOS,XLM,XMR,TRX,ADA,ETC
26/01/20,BTC,ETH,XRP,LTC,EOS,XLM,ADA,TRX,XMR,ETC
2/02/20,BTC,ETH,XRP,LTC,EOS,ADA,XTZ,ETC,XMR,TRX
9/02/20,BTC,ETH,XRP,LTC,EOS,XTZ,ADA,XMR,TRX,XLM
16/02/20,BTC,ETH,XRP,LTC,EOS,XTZ,ADA,LINK,XMR,XLM
23/02/20,BTC,ETH,XRP,LTC,EOS,XTZ,ADA,XLM,LINK,XMR
1/03/20,BTC,ETH,XRP,LTC,EOS,XTZ,LINK,ADA,XLM,XMR
8/03/20,BTC,ETH,XRP,LTC,EOS,XTZ,LINK,ADA,XLM,LEO
15/03/20,BTC,ETH,XRP,LTC,EOS,XTZ,LEO,XLM,LINK,ADA
22/03/20,BTC,ETH,XRP,LTC,EOS,XTZ,LEO,XLM,ADA,LINK
29/03/20,BTC,ETH,XRP,LTC,EOS,XTZ,LEO,XLM,XMR,ADA
5/04/20,BTC,ETH,XRP,LTC,EOS,XTZ,LEO,XMR,XLM,TRX
12/04/20,BTC,ETH,XRP,LTC,EOS,XTZ,LINK,LEO,XLM,XMR
19/04/20,BTC,ETH,XRP,LTC,EOS,XTZ,LINK,LEO,XMR,XLM
26/04/20,BTC,ETH,XRP,LTC,EOS,XTZ,LINK,XLM,ADA,XMR
3/05/20,BTC,ETH,XRP,LTC,EOS,XTZ,XLM,LINK,ADA,XMR
10/05/20,BTC,ETH,XRP,LTC,EOS,XTZ,LINK,XLM,ADA,XMR
17/05/20,BTC,ETH,XRP,LTC,EOS,XTZ,XLM,ADA,LINK,XMR
24/05/20,BTC,ETH,XRP,LTC,EOS,XTZ,ADA,LINK,XLM,TRX
31/05/20,BTC,ETH,XRP,LTC,EOS,XTZ,ADA,LINK,XLM,LEO
7/06/20,BTC,ETH,XRP,LTC,EOS,ADA,XTZ,XLM,LINK,LEO
14/06/20,BTC,ETH,XRP,LTC,EOS,ADA,XTZ,XLM,LINK,LEO
21/06/20,BTC,ETH,XRP,LTC,EOS,ADA,XTZ,LINK,XLM,LEO
28/06/20,BTC,ETH,XRP,LTC,EOS,ADA,XTZ,LINK,XLM,LEO
5/07/20,BTC,ETH,XRP,LTC,ADA,EOS,XTZ,LINK,XLM,LEO
12/07/20,BTC,ETH,XRP,ADA,LTC,LINK,EOS,XTZ,XLM,XMR
19/07/20,BTC,ETH,XRP,ADA,LINK,LTC,EOS,XTZ,XLM,XMR
26/07/20,BTC,ETH,XRP,ADA,LTC,LINK,EOS,XTZ,XLM,XMR
2/08/20,BTC,ETH,XRP,LTC,ADA,LINK,EOS,XTZ,XLM,XMR
9/08/20,BTC,ETH,XRP,LINK,ADA,LTC,EOS,XTZ,XLM,XMR
16/08/20,BTC,ETH,XRP,LINK,LTC,EOS,ADA,XTZ,XLM,TRX
23/08/20,BTC,ETH,XRP,LINK,LTC,ADA,EOS,XTZ,XLM,TRX
30/08/20,BTC,ETH,XRP,LINK,LTC,EOS,ADA,XTZ,XLM,TRX
6/09/20,BTC,ETH,XRP,LINK,DOT,LTC,EOS,ADA,TRX,XTZ
13/09/20,BTC,ETH,XRP,DOT,LINK,LTC,EOS,ADA,TRX,XTZ
20/09/20,BTC,ETH,XRP,DOT,LINK,LTC,ADA,EOS,TRX,NEO
27/09/20,BTC,ETH,XRP,LINK,DOT,ADA,LTC,EOS,TRX,XMR
