date,s378,s379,s380,s381,s433,s434,s593,s594
11/26/2018 7:00:00,-0.004802043,-0.000306447,-0.026057554,-0.000622017,-0.183333211,-0.193921008,0.000699935,-0.016504006
12/3/2018 7:00:00,-2.49E-05,-0.025062315,0.001704359,-0.07894183,0.006153834,0.002555409,-0.020480041,-0.024326274
12/10/2018 7:00:00,-0.001730963,-0.005885754,-0.016413138,-0.012002221,-0.13516125,-0.000126813,-0.012432287,-0.032165985
12/17/2018 7:00:00,-1.17E-05,0.031704252,0.005274749,0.085060386,0.102624144,0.002182781,-0.00094167,-0.021159905
12/24/2018 7:00:00,0.001182836,-0.010505397,0.024566254,-0.041716246,0.273617002,0.334390104,-0.020421026,-0.02967143
12/31/2018 7:00:00,-0.008613705,0.011796556,-0.009798324,0.043172005,-0.074147833,-0.067401985,0.0072021,-0.007235056
1/7/2019 7:00:00,0.007146987,-0.008348152,0.010682469,-0.033186694,0.111911561,-0.000978352,-0.032202651,-0.035586935
1/14/2019 7:00:00,-0.012078282,-0.001390867,-0.012546515,-0.007522157,-0.138305021,0,-0.008340946,-0.007282096
1/21/2019 7:00:00,3.60E-05,-0.001572314,-0.005518032,-0.002147768,-0.035499365,-0.040726916,-0.009005809,0.004799798
1/28/2019 7:00:00,0,-0.006726712,-0.004061696,-0.01368689,0.00325441,-0.00226328,-0.012765024,-0.024214985
2/4/2019 7:00:00,0.000472705,-0.001597115,0.000384628,-0.00319717,0.024424613,-0.000816468,0.003969427,0.009277172
2/11/2019 7:00:00,0.001474392,0.011916828,0.011408488,0.051120853,-0.001025606,0.121252843,0.014564177,-0.035383603
2/18/2019 7:00:00,0.00949254,0.011272043,0.010458498,0.045225015,0.1898197,0.027217517,0.010182445,-0.010189968
2/25/2019 7:00:00,-0.002343869,-0.005079899,-0.004254886,-0.020302563,-0.045936366,-0.026314232,-0.002526208,-0.004715776
3/4/2019 7:00:00,-7.83E-05,0.005281468,-0.004492831,0.010337311,-0.065104847,-0.053546576,0.001723802,-0.001234145
3/11/2019 8:00:00,0.00159838,-0.00061327,0.006077573,-0.006459717,0.081196872,0.029018714,0.004854175,0.01346901
3/18/2019 8:00:00,0.003349857,0.004326693,0.005444275,0.012377393,-0.000571777,0.051276467,0.00242121,-0.053605855
3/25/2019 8:00:00,-0.000483662,0.001200951,-0.000762988,0.004865222,-0.020095241,-0.011450565,-0.001383271,-0.018521861
4/1/2019 8:00:00,0.000569519,0.020137966,0.007845191,0.080567971,0.018294091,0.00011457,0.001125021,-0.003268881
4/8/2019 8:00:00,0.020986036,0.003854992,0.030075282,0.01545582,0.229136675,0.277813818,-0.00383012,-0.034946396
4/15/2019 8:00:00,-0.009492802,0.003424369,-0.010742036,0.013706123,-0.00090353,-0.106095428,0.005873472,-0.004867458
4/22/2019 8:00:00,-0.000107767,-0.011341022,0.003207466,-0.029532905,0,-0.000993034,0.010240843,0.00299652
4/29/2019 8:00:00,-0.000937133,0.007990195,-0.006157911,0.02598228,-0.055153142,-0.012311237,-0.00107773,-0.025398609
5/6/2019 8:00:00,0.002196064,-0.001395604,0.008093366,-0.005384718,0.103036241,0.008883367,0.002842473,-0.014325147
5/13/2019 8:00:00,0.010657033,0.033176144,0.009854867,0.100267137,0.007956596,0.081158146,0.013360766,-0.007064769
5/20/2019 8:00:00,0.015764211,-0.004923095,0.014648967,-0.019406831,0.006536728,0.105999413,0.001732152,-0.001796725
5/27/2019 8:00:00,0.004744193,0.010856836,0.01109422,0.021412628,0.212914771,0.137476156,-0.013776892,-0.020581124
6/3/2019 8:00:00,-0.000570078,-0.002657103,-0.002420786,-0.010323924,-0.001421643,-0.001186875,-0.010031417,-0.015241951
6/10/2019 8:00:00,-0.002433555,0.007152742,0.000280259,0.021235252,0,0.052132861,0.011754613,0.015663516
6/17/2019 8:00:00,0.000315114,0.011401901,0.012537796,0.045806576,0.134097078,-0.001064478,0.002062856,-0.009829978
6/24/2019 8:00:00,0.010449367,-0.00251292,0.010517458,-0.010034742,0.126310884,0.075259923,0.003913517,-0.0195858
7/1/2019 8:00:00,-0.010580142,-0.002230211,-0.010736224,-0.007221685,-0.044043869,-0.040313314,0.006466883,-0.004930295
7/8/2019 8:00:00,-9.51E-05,-0.007378729,0.006335323,-0.033119408,0.043888789,0.052028633,0.000558418,-0.015967797
7/15/2019 8:00:00,-0.014226316,-0.008662017,-0.022169848,-0.028486273,-0.246480182,-0.001964005,0.007462066,0.007771362
7/22/2019 8:00:00,-7.23E-05,-0.005686038,-0.00151075,-0.01149308,-0.040980037,0.012762045,-0.008854117,-0.021760354
7/29/2019 8:00:00,-0.006277735,0.001077886,-0.0064556,0.000956982,-0.06822528,-0.000257544,0.005651322,-0.00401247
8/5/2019 8:00:00,-0.000134919,0.002982723,0.010649887,0.007858507,-0.000845956,0,0.01096984,-0.02470888
8/12/2019 8:00:00,-0.003980061,-0.014282665,-0.008116921,-0.043822309,-0.08671917,-0.06753352,0.000148857,-0.004614666
8/19/2019 8:00:00,-8.15E-05,0.003526188,-0.00511288,0.006942079,-0.00095516,-0.080670612,0.011311961,-0.0067217
8/26/2019 8:00:00,-0.00495472,-0.013240732,-0.000415372,-0.045229228,-0.007318638,-0.001375417,-0.000535233,0.007819112
9/2/2019 8:00:00,-0.002771383,0.007700908,-0.006849332,0.015300529,-0.000199772,2.94E-05,0.007487773,-0.002370745
9/9/2019 8:00:00,-0.000237022,-0.000888779,0.000702136,-0.003045094,0.019276373,-0.000285492,-9.76E-05,-0.006857645
9/16/2019 8:00:00,0.002602156,0.007755258,0.001778454,0.035722554,0.010000229,0.037352323,-0.0002077,-0.006539846
9/23/2019 8:00:00,-0.005285274,-0.026036998,-0.00670066,-0.083646802,-0.000392653,-0.055831574,0.00353815,0.013628046
9/30/2019 8:00:00,-0.000651443,0.001805299,-0.01460105,0.003419335,-0.062936277,-0.128805804,-0.01068336,-0.012144017
10/7/2019 8:00:00,-6.16E-06,0.003069762,-0.001239712,0.011563061,0.018775501,-0.001186528,-0.020235558,-0.018304828
10/14/2019 8:00:00,0,-0.005068135,-0.000318441,-0.020037185,0.017359012,0.012104206,0.0057992,0.001307376
10/21/2019 8:00:00,0,-0.00767336,-0.001615277,-0.015597046,-0.060341005,-0.002578802,-0.000535414,-0.002769258
10/28/2019 8:00:00,0.00444053,0.014925617,0.004753033,0.029863777,0.020989316,-5.75E-05,-0.03282677,-0.057051855
11/4/2019 7:00:00,0.003720503,0.003718187,0.003405241,0.015236086,0.034155611,0.016185924,0.007952872,0.008633566
11/11/2019 7:00:00,-0.001436721,-0.004050132,-0.002873063,-0.016194767,-0.000960265,0.001203718,-0.002860964,-0.000956266
11/18/2019 7:00:00,-0.000108958,-0.013398024,-0.006915593,-0.042190669,-0.001354645,-0.048238383,0.004549469,0.00145846
11/25/2019 7:00:00,0,-0.005539347,-0.016529349,-0.011233605,-1.20E-05,-0.000940738,-0.000170458,-0.002577405
12/2/2019 7:00:00,0,-0.000934244,0.00256626,-0.001772052,0.009954283,0.012003444,-0.006087367,-0.007870844
