,BTC,ETH,ADA,LTC,XRP,DOGE,DOT,SOL,UNI,LUNA
12/08/21,-0.024313105,-0.036421119,0.020741567,0.000241838,-0.044386242,-0.002154358,-0.031279222,-0.018579548,-0.033773559,-0.008014354
13/08/21,0.07678282,0.090885229,0.167149178,0.108740329,0.128463424,0.086208856,0.097543318,0.093561417,0.089200541,0.073375136
14/08/21,-0.015699801,-0.017805582,0.025272617,-0.002507769,0.173494638,0.02545594,0.004969217,-0.01768986,-0.01627451,-0.025950682
15/08/21,-0.001316796,0.01433121,-0.00954033,0.0108761,0.003358326,0.158193627,0.01290859,0.21471934,0.003753903,0.112104262
16/08/21,-0.023074306,-0.049851133,-0.039312379,-0.037143166,-0.07636024,-0.060453918,0.05620356,0.169268065,-0.03630647,0.137775473
17/08/21,0,0,0,0,0,0,0,0,0,0
18/08/21,0,0,0,0,0,0,0,0,0,0
19/08/21,0.018024686,0.012431998,0.171599904,-0.013420181,0.040030339,-0.0059375,0.087324635,0.162339319,-0.039872244,0.340716434
20/08/21,0.054859342,0.031508913,0.005855376,0.045418327,0.023741998,0.029581892,0.058531447,0.079636668,0.032478449,0.04136923
21/08/21,-0.010003895,-0.018802483,-0.006961124,-0.022539199,-0.037438658,-0.031663155,-0.00920398,-0.060990024,-0.018569201,-0.100603884
